TimeUNIX/UTC,TimestampUTC,Hsigm,Tps,Dpdeg,
1630848769,2021-09-05T13:32:49.000Z,0.55,4.44,232.827,
1630850569,2021-09-05T14:02:49.000Z,0.55,4.44,239.328,
1630852369,2021-09-05T14:32:49.000Z,0.55,4.64,239.11,
1630854169,2021-09-05T15:02:49.000Z,0.54,4.08,237.217,
1630855969,2021-09-05T15:32:49.000Z,0.57,4.26,242.007,
1630857769,2021-09-05T16:02:49.000Z,0.59,4.26,241.627,
1630859569,2021-09-05T16:32:49.000Z,0.57,4.08,241.273,
1630861369,2021-09-05T17:02:49.000Z,0.55,4.64,248.28,
1630863169,2021-09-05T17:32:49.000Z,0.59,11.36,237.426,
1630864969,2021-09-05T18:02:49.000Z,0.57,4.26,250.038,
1630866769,2021-09-05T18:32:49.000Z,0.55,3.64,243.464,
1630868569,2021-09-05T19:02:49.000Z,0.53,3.52,239.629,
1630870369,2021-09-05T19:32:49.000Z,0.46,3.64,241.75,
1630872169,2021-09-05T20:02:49.000Z,0.51,3.4,235.748,
1630873969,2021-09-05T20:32:49.000Z,0.47,3.3,237.995,
1630875769,2021-09-05T21:02:49.000Z,0.49,3.2,236.255,
1630877569,2021-09-05T21:32:49.000Z,0.43,11.36,242.161,
1630879369,2021-09-05T22:02:49.000Z,0.47,3.2,232.21,
1630881169,2021-09-05T22:32:49.000Z,0.42,3.3,233.025,
1630882969,2021-09-05T23:02:49.000Z,0.35,3.1,229.527,
1630884769,2021-09-05T23:32:49.000Z,0.32,3.2,230.347,
1630886569,2021-09-06T00:02:49.000Z,0.36,3,240.133,
1630888369,2021-09-06T00:32:49.000Z,0.35,3.1,234.888,
1630890169,2021-09-06T01:02:49.000Z,0.33,12.8,241.44,
1630891969,2021-09-06T01:32:49.000Z,0.34,11.36,237.812,
1630893769,2021-09-06T02:02:49.000Z,0.31,11.36,236.916,
1630895569,2021-09-06T02:32:49.000Z,0.31,6.4,247.8,
1630897369,2021-09-06T03:02:49.000Z,0.28,11.36,240.541,
1630899169,2021-09-06T03:32:49.000Z,0.32,11.36,243.181,
1630900969,2021-09-06T04:02:49.000Z,0.31,11.36,239.247,
1630902769,2021-09-06T04:32:49.000Z,0.31,11.36,242.23,
1630904569,2021-09-06T05:02:49.000Z,0.27,5.68,253.543,
1630906369,2021-09-06T05:32:49.000Z,0.13,2.38,264.999,
1630908169,2021-09-06T06:02:49.000Z,0.31,10.24,240.179,
1630909969,2021-09-06T06:32:49.000Z,0.23,4.26,253.91,
1630911769,2021-09-06T07:02:49.000Z,0.3,9.3,244.323,
1630913569,2021-09-06T07:32:49.000Z,0.2,5.68,250.355,
1630915369,2021-09-06T08:02:49.000Z,0.28,11.36,238.108,
1630917169,2021-09-06T08:32:49.000Z,0.25,10.24,241.501,
1630918969,2021-09-06T09:02:49.000Z,0.22,5.12,246.752,
1630920769,2021-09-06T09:32:49.000Z,0.2,4.86,248.115,
1630922569,2021-09-06T10:02:49.000Z,0.26,10.24,244.851,
1630924369,2021-09-06T10:32:49.000Z,0.25,11.36,245.486,
1630926169,2021-09-06T11:02:49.000Z,0.23,11.36,237.594,
1630927969,2021-09-06T11:32:49.000Z,0.2,6.82,248.185,
1630929769,2021-09-06T12:02:49.000Z,0.21,6.4,243.679,
1630931569,2021-09-06T12:32:49.000Z,0.25,2.16,230.963,
1630933369,2021-09-06T13:02:49.000Z,0.37,2.32,239.77,
1630935169,2021-09-06T13:32:49.000Z,0.43,2.84,228.865,
1630936969,2021-09-06T14:02:49.000Z,0.59,4.86,239.292,
1630938769,2021-09-06T14:32:49.000Z,0.59,4.86,241.593,
1630940569,2021-09-06T15:02:49.000Z,0.58,4.44,241.532,
1630942369,2021-09-06T15:32:49.000Z,0.56,4.64,243.239,
1630944169,2021-09-06T16:02:49.000Z,0.55,4.44,248.985,
1630945969,2021-09-06T16:32:49.000Z,0.54,4.44,246.694,
1630947769,2021-09-06T17:02:49.000Z,0.56,4.44,249.281,
1630949569,2021-09-06T17:32:49.000Z,0.54,4.44,251.546,
1630951369,2021-09-06T18:02:49.000Z,0.56,4.26,251.294,
1630953169,2021-09-06T18:32:49.000Z,0.52,4.26,249.894,
1630954969,2021-09-06T19:02:49.000Z,0.52,4.08,251.565,
1630956769,2021-09-06T19:32:49.000Z,0.49,3.92,246.9,
1630958569,2021-09-06T20:02:49.000Z,0.48,4.08,249.176,
1630960369,2021-09-06T20:32:49.000Z,0.4,3.78,245.634,
1630962169,2021-09-06T21:02:49.000Z,0.42,17.06,243.796,
1630963969,2021-09-06T21:32:49.000Z,0.4,3.4,232.947,
1630965769,2021-09-06T22:02:49.000Z,0.39,3.2,231.096,
1630967569,2021-09-06T22:32:49.000Z,0.38,20.48,239.701,
1630969369,2021-09-06T23:02:49.000Z,0.35,20.48,238.507,
1630971169,2021-09-06T23:32:49.000Z,0.32,3,230.844,
1630972969,2021-09-07T00:02:49.000Z,0.27,2.92,234.438,
1630974769,2021-09-07T00:32:49.000Z,0.32,17.06,239.861,
1630976569,2021-09-07T01:02:49.000Z,0.32,17.06,238.456,
1630978369,2021-09-07T01:32:49.000Z,0.33,17.06,240.96,
1630980169,2021-09-07T02:02:49.000Z,0.33,17.06,238.281,
1630981969,2021-09-07T02:32:49.000Z,0.31,17.06,237.624,
1630983769,2021-09-07T03:02:49.000Z,0.31,17.06,241.987,
1630985569,2021-09-07T03:32:49.000Z,0.3,17.06,239.719,
1630987369,2021-09-07T04:02:49.000Z,0.32,17.06,242.11,
1630989169,2021-09-07T04:32:49.000Z,0.34,17.06,237.806,
1630990969,2021-09-07T05:02:49.000Z,0.32,17.06,234.877,
1630992769,2021-09-07T05:32:49.000Z,0.27,17.06,235.03,
1630994569,2021-09-07T06:02:49.000Z,0.34,17.06,233.391,
1630996369,2021-09-07T06:32:49.000Z,0.3,5.68,248.41,
1630998169,2021-09-07T07:02:49.000Z,0.32,17.06,236.123,
1630999969,2021-09-07T07:32:49.000Z,0.35,17.06,243.125,
1631001769,2021-09-07T08:02:49.000Z,0.32,17.06,242.762,
1631003569,2021-09-07T08:32:49.000Z,0.24,17.06,240.305,
1631005369,2021-09-07T09:02:49.000Z,0.13,2.04,230.804,
1631007169,2021-09-07T09:32:49.000Z,0.2,17.06,239.125,
1631008969,2021-09-07T10:02:49.000Z,0.2,17.06,241.335,
1631010769,2021-09-07T10:32:49.000Z,0.25,17.06,241.183,
